INSTANCE 	 PRIMAL 	 DUAL 	 BEST VALUE
pb_100rnd0900.dat	455.00000	536.48278		 BETTER (-1.52448)
pb_100rnd0300.dat	203.00000	269.59881		203.00000	
pb_100rnd0300.dat	200.00000	268.27150		 WORST (1.67268)
pb_500rnd1500.dat	1103.00000	1471.43946		1196.00000	
pb_500rnd1500.dat	1116.00000	1473.30814		 BETTER (-11.13132)
pb_200rnd0700.dat	999.00000	1011.79098		1004.00000	
pb_200rnd0700.dat	997.00000	1008.46521		 BETTER (-1.32577)
pb_500rnd1600.dat	80.00000	117.44451		88.00000	
pb_500rnd1600.dat	80.00000	116.34499		 BETTER (-1.09952)
pb_200rnd1000.dat	118.00000	119.69417		118.00000	
pb_200rnd1000.dat	118.00000	119.55104		 BETTER (-0.14314)
pb_1000rnd0300.dat	580.00000	1459.45284		661.00000	
pb_1000rnd0300.dat	595.00000	1433.40602		 BETTER (-41.04682)
pb_500rnd1400.dat	36.00000	64.51810		38.00000	
pb_500rnd1400.dat	35.00000	64.40863		 WORST (0.89052)
			
			
