INSTANCE 	 PRIMAL 	 DUAL 	 BEST VALUE
pb_100rnd0900.dat	460.00000	542.83870		 BETTER (-9.43602)
pb_100rnd0300.dat	203.00000	283.87771		203.00000	
pb_100rnd0300.dat	203.00000	281.61294		 BETTER (-2.26477)
pb_500rnd1500.dat	1129.00000	1544.34374		1196.00000	
pb_500rnd1500.dat	1121.00000	1518.39700		 BETTER (-17.94675)
pb_200rnd0700.dat	979.00000	1021.90454		1004.00000	
pb_200rnd0700.dat	990.00000	1019.65278		 BETTER (-13.25176)
pb_500rnd1600.dat	83.00000	121.47401		88.00000	
pb_500rnd1600.dat	79.00000	120.53140		 WORST (3.05739)
pb_200rnd1000.dat	117.00000	120.71703		118.00000	
pb_200rnd1000.dat	118.00000	121.20204		 BETTER (-0.51499)
pb_1000rnd0300.dat	589.00000	1564.78093		661.00000	
pb_1000rnd0300.dat	584.00000	1503.56559		 BETTER (-56.21534)
pb_500rnd1400.dat	35.00000	68.29075		38.00000	
pb_500rnd1400.dat	35.00000	66.52986		 BETTER (-1.76088)
			
			
